scenario,approach,algorithm,feature,source_table,importance
scenarioN_target_n,BASE,XGBoost,ram_usage,base,162.52269132179754
scenarioN_target_n,BASE,XGBoost,min,base,52.09393585960879
scenarioN_target_n,BASE,XGBoost,cpu_usage,base,41.66369002328854
scenarioN_target_n,BASE,XGBoost,lat50,base,12.161879391141863
scenarioN_target_n,BASE,XGBoost,ram_limit,base,11.604477836029627
scenarioN_target_n,BASE,XGBoost,lat95,base,5.534643904152448
scenarioN_target_n,BASE,XGBoost,lat99,base,3.522383549810501
scenarioN_target_n,BASE,XGBoost,cpu_limit,base,3.1720580604690745
scenarioN_target_n,BASE,XGBoost,lat75,base,2.774128007225559
scenarioN_target_n,BASE,XGBoost,time,base,0.0
scenarioN_target_n,BASE,RandomForest,ram_usage,base,193.6834247080341
scenarioN_target_n,BASE,RandomForest,cpu_usage,base,20.990746184696448
scenarioN_target_n,BASE,RandomForest,ram_limit,base,19.648256912344994
scenarioN_target_n,BASE,RandomForest,min,base,5.21722606863078
scenarioN_target_n,BASE,RandomForest,cpu_limit,base,0.6727371429916318
scenarioN_target_n,BASE,RandomForest,lat99,base,0.5469371510478325
scenarioN_target_n,BASE,RandomForest,lat75,base,0.5258432598031234
scenarioN_target_n,BASE,RandomForest,lat95,base,0.41209826430007723
scenarioN_target_n,BASE,RandomForest,lat50,base,0.36430092739782083
scenarioN_target_n,BASE,RandomForest,time,base,0.0
scenarioN_target_n,Join_All_BFS,XGBoost,scenarioN_target_n/rabbitmq-performance.csv.ram_usage,rabbitmq-performance.csv,159.7533780923098
scenarioN_target_n,Join_All_BFS,XGBoost,scenarioN_target_n/rabbitmq-performance.csv.min,rabbitmq-performance.csv,50.85401221654463
scenarioN_target_n,Join_All_BFS,XGBoost,scenarioN_target_n/rabbitmq-performance.csv.cpu_usage,rabbitmq-performance.csv,33.274706988435675
scenarioN_target_n,Join_All_BFS,XGBoost,scenarioN_target_n/rabbitmq-performance.csv.ram_limit,rabbitmq-performance.csv,11.881708016533448
scenarioN_target_n,Join_All_BFS,XGBoost,scenarioN_target_n/rabbitmq-performance.csv.lat95,rabbitmq-performance.csv,10.812795982162841
scenarioN_target_n,Join_All_BFS,XGBoost,scenarioN_target_n/rabbitmq-performance.csv.lat50,rabbitmq-performance.csv,10.545130224184778
scenarioN_target_n,Join_All_BFS,XGBoost,scenarioN_target_n/rabbitmq-performance.csv.lat75,rabbitmq-performance.csv,5.200939160992819
